Txt,index,idx
"戊寅
당신은 겉으로 보기에는 적극적이고 용맹스러운것  같지만 내면은 실로 소심하고 대범하지 못해 큰 일을 도모하기가 쉽지 않으며 감당키 어려운 상황에 처하면 안타깝게도 뒤로 물러서는 경향이 있다고 할  수 있겠습니다.  

또한 당신은 자기의 속마음을 잘 내 보이지 않으며 상당히 가정적이면서도 밖으로 맴돌기를 좋아하는 스타일입니다.  
일반적으로  볼때 과묵하면서도 명예를  중요시 하기 때문에 신경이 아주 예민하며 고집이 세고 자만심이 지나쳐 가끔 남과 심한 말다툼을 벌이기도 합니다.  

당신은 어릴적에는 부모로 부터의 혜택을 입어 그런대로 잘 지내지만 독립할 시기가 되어서는 직업 변동이 심하고 매우 분주한 시간을 보내게 되며 금전운은 매우 좋은  편이지만 헛된 허영심과 남에게 과시하고자 하는 충동심으로 좋은 시기를 놓쳐 버릴 수 있으므로 겸손한 마음으로 분수를 지켜나가고 누구에게나 솔직 담벽하게  대한다면 천부적으로 복록이 따르는 운명이므로 큰 명성을 얻고 부호의 삶을 살게 될 것입니다.
","life_01_015",484
"壬辰
당신은 겨울바다 한가운데에서 높은 파도를 헤치고 앞으로 나가는 흑룡의 형상 으로써 약간 검붉은 얼굴에 위풍이 당당하고  그 기질 또한 만인지상으로써 언변에 조화가 있으며 어떤 어려움이 닥쳐도 지혜롭게 잘 모면해 가는 재치가 뛰어납니다.  

그러나 고집이 너무세고 자존심이 강하여  자기 주장만을 내세우다 보니 주위의 눈총을 받고 타인에게 불쾌감을 줄 수도 있으니 이 점에 주의해야 합니다.  
당신은 그 마음속에 뜨거운 열정과 충성심을  갖고 있으므로 무슨 일이든 믿고 맡기면 물불을 가리지 않고 책임을 완수할 수 있는 사람이며 도량이 넓고 포부가 크며 인내심 또한 남달리 강하다고 할 수 있습니다.  

또한 당신은 평상시에는 아주 순하고 부드럽지만 한번 화를  내면 아주 무섭고 잘 풀어지지 않으며 남과 언쟁을 할 때는 목소리가 우뢰같지만  뒤끝은 없는 편입니다.  
한편 당신은 자신감과 자만심이 강해 일을 너무 크게 벌이다 스스로 함정을 파는 결과를 초래할 수 있으니 이점에 각별히  신경 쓴다면 주위로부터 인정을 받아 큰 성공이 예상됩니다.
","life_01_029",498
"乙巳
당신은 매사에 사려가 갚고  분별력이 있어서 모두들  좋아하며 주위 사람들의 인정을 받아 일찍 출세가도를 달리 수 있는 좋은 운을 갖고 태어났습니다.  

따라서 일상생활에 있어서 좀더 적극적이고 활동적으로 행동하면 더욱 큰 부귀와 명성을 누릴 수 있게 되지만 자기  책임을 회피하거나 남에게 의지하려는 나약한 생활을 하게 되면 남에게 이용당하기 쉽고 운세가 점점 기울어 어려운 상황에 빠질 수 있으므로 긍정적인 생각으로 자신감 있게 열심히 살아가야 합니다.
한편 당신은 자존심이 강하고 신경이 예민하여  남의 눈을 너무 의식하여 행동에 제약을 받게 되며 인정에 치우쳐 남의 부탁을 거절하지 못해 손해를 보기도 합니다.  

따라서 우유부단한 성격을 버리고 끊고 맺음을  확실히 하며 내 인생 내가 책임진다는 각오로 살아간다면 타고난 복이 충만하여 무난하고 편안한 삶을 살게 될 것입니다.
","life_01_042",511
"己未
당신은 몸보다 마음이 더 바쁜 사람으로서  내일 보다는 타인을 위해서 봉사하는 시간이 더 많으며 남의  일 때문에 피해를 겪거나  손실을 초래하기도 합니다.  

또한 자기 주장과 고집이 아주 세서 남의 말을 잘 받아 들이지 않으며 오기가 강하고 우기기를 잘하여  부모, 형제, 자식간은  물로 모든 인간관계에서 마찰을 일으킬 수 있으므로 이와 같은  습성을 미리 깨닫고 고쳐나가야 운기도 상승하고 큰 성공과 발전을  이룩할 수 있습니다.  

대체적으로  당신은 감정이 풍부하고 다소 조급하거나 격한 면이 있어서  전후 사정을 가리기 전에 폭발하는 기질이 있어서 종종 일을 그르치기도 하므로 사물을 잘 분별하고 깊이 관망하는 태도를 길러 나가야 하며 쓸데 없이 남의 일에 끼어들지 않도록 노력해야 합니다.  
당신이 꼭 명심해야 할 것은 낙천적인  마음으로 명랑한 분위기 속에서 다른 사람들과 원만한 관계를 유지해 나갈 것과 한가지 업종에 뿌리를 내리고 꾸준히 노력하라는 점이니 꼭 명심하시기 바랍니다.
","life_01_056",525
"男子
애정및 결혼운은 다소 고르지 못한 경향이  있어 초혼에 실패하는 경우도 있겠지만 중년이후 안정속에 행복을 만끽하게 될 것입니다.
재물운은 수입은 괜찮으나 지출이 많아서 재산을 모으기가 쉽지 않겠지만 지출을 억제 한다면 큰 재산을 소유할 수 있게 될 것입니다.

직업은 예술방면으로 빠지는 것도 좋고 학문,  의학, 발명, 과학, 외교, 언론, 문학, 종교계통 등 자유스러운 직업이 적합합니다.
건강은 방광, 신장, 간염, 담낭, 호흡기질환 심장병 등의 질환에 주의해야하며 당뇨나 성병 등도 조심해야 합니다.
","life_01_m09",538
"男子
애정 및 결혼운은 감정보다는 이성을 중시하기 때문에 애정표현에 있어서 겉치레 같은 말은 하지 않으며  중매 결혼하는 사람이 많고  부부간에 다소 마찰도 예상됩니다.

재물운은 중상 정도이며 의식주에 곤란을 겪지 않겠습니다.  장사 재능이 좋아서 상업에 종사하면 많은 돈을 벌어  들이겠지만 의외로 돈이 모이지 않으므로 낭비와 지출을 최소한으로 줄여야 합니다.

직업운은 의욕에 비해 지구력이 약하기 때문에  한 직업을 꾸준히 밀고 나가야 성공을 거두게 되며 레저산업, 무역, 금융, 목재상, 인쇄업, 변론인 등이 적격이며 상업이나 수산해운업도 좋습니다.
건강은 대장, 심장, 신경통, 디스크 등에 주의해야 하며 중년이후 비만으로 인한 당뇨에도 신경을 써야 합니다.
","life_01_m27",556
"男子
애정 및 결혼운은 이성간에  만남이 빈번하지만 권태가  빠르고 의심이 지나쳐 불길하므로 늦은 결혼이 좋고  자존심을 죽이고 고집을  버려야 평화를 도모할 수 있습니다.
재물운은 오는 기회를 놓치지 않고 잘 이용한다면 큰 재산을 모으게 될 것이며 남을 위하여 일을 한다면 수입은 더욱 늘어날 것입니다.

직업운은 남을 잘 믿지 못하고 어떠한 일도 모두 자기 혼자서 처리하려고 하므로 스스로 운영하는 독립사업이 아주 좋으며 변호사, 사법서사, 경찰관, 작가, 스포츠선수 등도 좋습니다.
건강은 신경을 너무 써서 과로나 스트레스로  인해 위가 약해져 소화기 계통의 질병으로 고생할 수도 있으니 특히 과음 과식을 삼가하시기 바랍니다.
","life_01_m41",570
"男子
애정 및 결혼운은 언변이  뛰어나므로 이성을 사귀기는  어렵지 않지만 외모를 중요시하며 자존심이 강해 먼저  접근하지 않으므로 결혼이  늦어질 수 있지만 가정운은 비교적 좋은 편이며 훌륭한 자손을 두게 될 것입니다.
재물운은 금고의 문지기라고 할 수 있을  만큼 재산 관리에 철저한 사람으로서 타인의 돈을 이용하거나 스스로 많은 기회를 만들어 재산을 모으기도 합니다.

직업운은 다른 사람에게 머리를 숙이지 않는  직업이 좋고 행동력을 발휘할 수 있는 직업도 좋습니다.  

사업가, 정치가, 예술가 등이 적격이며 관료, 은행원, 검사, 변호사, 군인 등도 괜찮습니다.
건강운은 다소 병치레를 겪게 될 것으로 보이며 소화기계통의 질병과 요도, 방광 등의 비뇨기 계통 그리고 신경통과 관절염 등에 주의해야 합니다.
","life_01_m54",583
"女子
애정및 결혼운은 겉으로는 화려해 보이지만 그 내면은 쓸쓸하고 고독한 사람입니다.  
부부간에는 누님같은 부인형으로써 알게 모르게  남편을 출세시키는 어진 아내이므로 빨리 결혼하여 가정을 꾸리는 것이 좋습니다.

재물운은 풍부한 편이므로 자신이 좋아하는 일을  하여 기대 이상의 수입을 손에 놓을 수 있겠습니다.

직업은 스튜어디어스, 여행안내원, 디자이너, 간호원, 예능관계의 직업이 적격이며 사업으로는 음식 서비스업과 관광산업이 좋습니다.
건강은 본질적으로 많이 먹는  것을 피해야 하며 위,  십이지장 등의 소화기계 장애와 방광, 자궁 등 내분비계 질병을 주의해야 합니다.
","life_01_w08",597
"女子
애정및 결혼운은 이상이 높고 완고한 성격이어서  결혼의 기회를 놓쳐 늦게 결혼하게 되며 어딘가 남편을  무시하고 업신여기는 감도  있지만 아내의 역할을 충실히 하며 자녀들도 훌륭하게 양육해 내는 현모양처입니다.

재물운이 중상정도여서 재벌은 못되지만 부족함을  느끼지 않겠으며 허영과 사치를 버리고 마음에 여유를 갖고 생활 계획을 세우면 풍요로운 인생을 꽃 피울 수 있습니다.

직업운은 취미도 살리고 실리도 챙길 수 있는 직업이 좋겠으며 의사, 교사, 디자이너, 전산직, 보석상 등이 적합한 직업으로 여겨집니다.

건강은 큰 병은 염려되지  않지만 위장계통에 장애가  따르겠고 호르몬 분비가 부족하여 기능장애도 염려되므로 충분한 휴식과 수면을 생활화 해야 합니다.
","life_01_w21",610
"女子
애정 및 결혼운은 자유분방한 활동 때문에 애정행각이 복잡하여 마찰을 일으키기도 하지만 결혼 후에는  가정과 일을 양립하여  가정을 행복하게 이끌어갑니다.

재물운은 사회생활을 하면 많은 돈을 벌수  있으나 가정 생활에도 충실해야 하며 주식 등에 투자하면 실패가 염려되고 남성에게 금품을 갈취 당하는 일이 없도록 주의해야 합니다.

직업운은 창조력과 아이디어를 살릴 수 있는 일이 적합하며 디자이너, 전산직, 작가, 보석상, 음악이나 미술 등에 관련된 일이 좋습니다

건강은 요도, 방광등의 비뇨기 계통의 질병에 주의하시고 어깨, 허리, 손 다리의 근육통과 변비에도 신경을 써야 합니다.
","life_01_w39",628
"女子
애정 및 결혼운은 자신의 마음을 잘  나타내지 않기 때문에 연애보다는 중매로 결혼하는 것이 적합하며 일과 가정을 함께  유지해 나가려고 하다보면 다소 마찰도 예상되니 현명하게 처신하기 바랍니다.

재물운은 검소하게 재산을 모아야지  분수에 맞지 않게  거금을 바라거나 투기요행을 바란다면 오히려 재액이  따르겠고 중년 후반부터는  차차 안정이 되어 많은 재산을 소유하게 될 것입니다.

직업운은 언행이 부드럽고 사람들에게 인기가 좋아 대중을 상대로 하는 직업이 좋으며 프로그래머, 디자이너, 간호사, 약재사, 교사 등의 직업도 길하며 상점을 경영하는 것도 바람직합니다.

건강은 육체적보다는 정신적  스트레스나 노이로제 등에  주의를 해야하며 위, 십이지장 등의 소화기 계통과 변비, 치질 등에 관심을 기울여야 합니다.
","life_01_w53",642
"하늘 아래에 있는 연못을 밟고 있는  괘상으로써 뜻하지 않았던 일이 발생해서 놀라겠으나 침착하게 대응하면서 성실하게 노력하면 좋은 결과를 얻을 수 있겠으니 특히 윗분께 예의를 꼭 지키도록 명심하십시요.

범의 꼬리를 밟고 있는 것같은 위기속에 있는 상태이나 무난히 벗어날 수 있으니 윗사람의 충고와 의견에 귀를 기울이기 바랍니다.  
그리고 성실하고 겸손하게 생활하십시요.  
그렇지 않으면, 화를 자초하는 경우가  있을 것입니다.  

애정면에서 좋지 않은 징조가 염려되니 이성관계에 특히 주의해야 합니다.  
자기 분수 이상의 일을 맡을 수도 있겠으니  거절하지 말고 자신감있게 꾸준히 그리고 성실하게 대처하면 훌륭하게 이루어낼 수 있습니다.","today_01_012",663
"오늘은 물고기와 용이 모두 바다로 모이는 괘상으로써 선배의 도움으로 뜻밖의 성공을 하게 됩니다.  
또한  여러 사람이 합심하여 협동하는  일이라면 대성할 수 있겠습니다.

바다로 물고기와 용이 모이는 운이니 바다란 곧 물고기의 보금자리를 뜻하므로 그러므로 활동적이고, 또 긍정적으로 매사에 임하게 될 것이고, 그것이 계기가 되어 대운을 얻을 수 있겠습니다.

하고자 하는 일이면 대개는 이루어지겠으나 이것을  자기 재주로 믿고 경거 망동하다가는 돌이킬 수 없는 일을 저지르고  후회하게 될 것이니 주의를 요합니다.
누구나 좋은 일이 생기면 경쟁자도 생기게  마련이고 보이지 않는 적도 생기게 마련입니다. 
넓은 도량으로 그들을 포섭하십시요.  

적대시하기에 앞서 아량을 베풀면 자연히 머리를 숙이고 들어올 것입니다.
선거에 출마하는 사람이나 입학  및 취직 시험에 응시하는 사람, 모두 길합니다.  
항상 유연하고 정직하고 겸허한 자세로 임하면 순조롭게 진행되겠고 이익도 많을 것이니 이 점 특히 명심해서 행동하도록 하십시요.","today_01_028",677
"천둥 소리와 바람이 결합을 하는 괘상으로써 귀인이 도와줄 운세입니다.  
그리고 호운을 만나 발전에 발전을 거듭하겠지만 옛것을 지키면서 꾸준히 노력하십시요.
기쁜 일, 좋은 일이 오래 계속되니 오히려 권태를  느끼게 될 운기입니다.  

순탄한 세월을 보내는 동안에  지난 일을 생각하며  방탕하거나 낭비하지 마십시요.  
그리하면 안정되고 행복한 생활을 계속 할 수  있습니다.  
평범하고 안정된 생활을 원하는 사람에게는  더할 나위없이 좋은 운입니다.   
그러나 새로운 일은 구상하지 마십시요.  
조급히 서두르다 보면 중도에 실망하고 좌절을 겪을 수도 있습니다.  
결코 악운은 아니지만 섣불리 변화를 구하다가는 자칫 실패를 초래할 수 있기 때문입니다.
부부 또는 연인 사이에 자칫 금이 갈 수도 있습니다.  
너무나 변함없는 생활에서 오는 권태로움이 그 원인입니다.  
서로를 위해 노력하며 살도록 노력하십시요.  
그러면 다시 사랑이 확인될 것입니다.  

또 고아와 노약자 등 어려운 사람들을 돌보아 주십시요.  
그러면 얻고 있는 행운이  오래 지속되어 안락한 생활을 영위해나갈 수 있을 것입니다.","today_01_045",690
"물줄기가 번지는 불길을 잡아주는 괘상으로써  운수대통이나 차츰 쇠운에 접어 들고 있으니 근검절약을 몸에 익히고 적덕에 힘을 기울이기 바랍니다.  
쇠운을 당해도 쇠운인 줄 모르고 넘길 수 있을 것입니다.
하는 일마나 막힘이 없으니  흡족하고 평안합니다.  
가정도 원만하여  큰 변이 없으니 이에 무엇을 더 바라겠습니까?  
그러나 이제부터는 서서히 쇠운을 만나게 되므로 그 일에  대처함이 무엇보다 중요합니다.  
사업하는  사람은 사업을 확장하지 말고 직장인이면 대인관계를 부드럽게  가지고 가정에서 자녀 단속을 철저히 하십시요.  
노인을 모신 사람은 건강에 각별히 신경을 써야 합니다.
그러나 인간의 힘으로 어찌 대우주의 운행을  막을 수 있으며 들고나는 운기를 조종할 수 있겠습니까?  
다만 덕을 쌓고 선을  베푸는 일만이 신을 감동시키는 일이며 그렇게 해야 쇠운도 무사히 넘길 수  있겠습니다.  
전진하는 것만이 능사가 아니요,  때로는 후퇴할줄도 알아야 합니다.  

이길 수  있는 자리에서 져주는 것은 분명 어려운 일이지만 그런 일을 하는 자가 참된 승리자입니다.  
양보할 땐 양보하고 그런 가운데서도 실리를 찾으십시요.
음과 양이 균형잡혀 있으니  염복도 많아서 근신하지  않으면 나중에 후회합니다.  
어쨌든 이성문제뿐 아니라 술이며, 잡기며 허튼 일로 신세를 망치지 않도록 조심하십시요.","today_01_063",704
"땅과 하늘이 서로 화합을 이루는 괘상으로써  하늘이 보살피고 신이 도우니 더 바랄 것이 없는 운수입니다.  

큰뜻, 고상한 뜻을 품고  그 뜻에 맞추어 행동하면 좋은 결과가 있을 것입니다.
이 운은 만사가 형통하는 대길운으로써 서로 협동해서 하는 일도 마음이 잘 맞을 뿐아니라, 이쪽에서 이끄는 대로 잘 따라주고 선배나 윗사람의 인정을 받게 되고 생각하지 않았던 도움도 받을 수 있게 됩니다.
가정도 평안하여 우환 등의  근심이 없고 부부 사이도  원만합니다.  

자손운도 좋고 미혼자는 마음에 드는 배우자를 만날 수  있습니다.  
이처럼 매사가 순조로울 때는 차츰 인격을 잃어가기 십상인 것이  인간입니다.  

모든 일이 자신의 능력 때문인 것으로 착각하여 기고만장해질 수 있기 때문입니다.  
근신하고 덕을 쌓는 한편 선을 행하면 복락을 오래 누릴 수 있을 것이니 경거 망동으로 복을 차버리는 일이 없기를 바랍니다.","today_01_081",718
