idx,sal,txt
42,"지전살","地轉殺이라함은 글자의 모양을 보면 알수 있듯이 땅위에서 구르고 넘어지는 像이라 할것이니,
쉽게 말한다면 사사건건 정신이 혼탁해져 낭비가 심하고 부디치는 재앙이 많다할 것이니,
실패가 많고 구설이많아 직장을 전전하게 되는 것으로 보는 것입니다.

이 殺의 구성을 찾자면,
寅卯辰月은 春節인 木이되는 것이며,  
巳午未月은 夏節인 火가되는 것이며,
申酉戌月은 秋節인 金이되는 것이며,
亥子丑月은 冬節인 水가되는 것으로 그 모양을 찾아볼수 있는 것입니다.

이를보면 한눈에 알 수 있듯이 十神의 比劫이 太旺한 것이나, 이를 오행의 生剋없이 논할 수 없는것이니,

地轉殺이 있다하여, 땅을 자리삶아 사는 거지가 되는것도 아니요,
실패와 재기가 힘든 실업자가 되는것도 아니니,
이 殺이 있다하여 쉽게 속단하여 그 運을 따지면 안될것입니다.

이 흉살이 사주에 있다하나,
한가지 다행인것이 칠전팔기의 노력이 뒷바침 된다는것이니,
좌절을 겪고 실패를 하여도 오뚜기처럼 다시 일어설 수 있는 것이 이 흉살의 특징인것이며,
늘상 凶厄이 몸에 진을 치고 있는것이 아니니, 大運을 살피고 歲運을 보전한다면 흉액을 능히 막을 수 있는 殺인 것입니다."
43,"천전살","天轉殺은 地轉殺과 비슷한 양상을 띄고 있습니다.
그러나, 근본이 틀리니, 비슷한 상으로 표출되기 쉬우나, 그 뿌리가 틀린 凶厄입니다.

이 殺性이 비추면, 낭비가 심하고 남에게 의지하여 스스로의 힘을 키울수 없게 되는 것입니다.
그러니, 일정한 직업없이 동냥하듯 하는 것이니, 東西南北으로 오갈 곳이 없게 되는 凶殺이라 할것입니다.

이 殺性의 구성을 본다면,
寅卯辰 月生이 辛卯日에,
巳午未 月生이 戊午日에
申酉戌 月生이 癸酉日에,
亥子丑 月生이 丙子日에 出生한 사람이라 할것입니다.

천전살의 기운은 일간의 힘이 弱할때, 파고드는 殺性이라 할것입니다.
四方八方이 外地인 격이니, 마음을 둘 곳이 없는 凶殺입니다."
44,"탕화살","湯火殺이란 불과 물로인한 화재가 발생하여 신체가 훼손되고 심하면 중독 및 비관자살에 이르기까지하여
一身이 버려지는 것과 같은 災厄이 나오는 殺이라 할 수 있습니다. 

이 殺性은 자체로는 매우 미약한 힘을 발휘하는 것이나,
怨嗔, 六害, 鬼門등의 凶殺이 겹쳐 日柱가 심약하고, 刑이나 沖이되어 十神이 제힘을 쓰지 못할때,
그 위험이 유독 강하게 나오는 것이니 때때로 주의해서 살펴봐야하는 凶殺인것입니다.

이 殺性을 가진사람이 유독 약사나, 소방관, 또는 독극물과 같은 화공약품을 취급하는 사람이 많은 것도 눈여겨볼 만한 특징이라 할것입니다.

丑日生이 柱中에 戌, 午, 未를 만나거나
寅日生이 柱中에 巳, 申을 만나거나
午日生이 柱中에 午, 辰을 만나면 飮毒自殺로 인한 피해가 있는것이며,
壬寅日生이나 庚寅日生이 柱中에 巳, 申을 만나 刑과 沖이되고, 身弱하다면 自殺의 피해가 생기게 되는것입니다.
戊子日生이 柱中에 寅巳나 巳申, 寅申을 만나 刑沖이 되도 飮毒으로 인한 피해를 주의해야 하는 것입니다.

凶殺이 크게 임하는 때를 찾는것이 중요하며, 日干이 剋을 당하는 형국에서 해운이 흉운으로 들어오는때를 찾고,
다시 그 운에서 용신이 破하는가를 살펴서 凶厄을 대비하는 것이 좋습니다.

그러나, 앞서 말했듯이 四柱구성을 보지 않고 他 殺性의 生剋과 日柱의 强弱,
地支合沖을 살피지 않는 것이라면 무의미 한 것이니,
반드시 속단하지 않는 주의함이 있어야 할 것입니다."
45,"홍염살","紅艶殺이란 글자그대로 붉고 곱다는 말입니다.
곱게 물들여진 실타래를 말하는 것이니,
이 殺性이 있는 사람은 세인의 눈길을 끌고 어여뿐 善男善女(선남선녀)와 같은 자태적 기질이 있으니,
이 殺(살)을 가진 사람은 酒色(주색)을 가까이하며, 風流(풍류)를 찾는 사람이라 할것입니다.

홍염살이 吉星(길성)의 작용을 하는 경우도 있으니, 늘상 흉한 살성으로만 봐서는 안될것입니다.
비록 기운이 흉하여 화류계에 몸을 담기 쉽다 할것이나,
여자에게는 때때로 세인의 주목을 더욱 받게되니,
藝人(예인)의 기운을 드높일 수 도 있는것이며, 萬人(만인)의 선망을 받게 하기도 하는살성인것입니다.

그러나, 남자에게는 古今(고금)을 막론하고 酒色(주색)과 享樂(향락)을 찾게하는 힘으로만 나오기 쉬우니,
이점이 홍염살의 살성이 지닌 또다른 특성이 되는것입니다.

紅艶殺(홍염살)은 日干(일간)을 기준으로하여 柱中의 地支를 대비하여 殺性의 강약을 보는 것이 중요합니다.
그러니, 타 주보다는 日柱와 月柱에 힘이 크게 작용하는 殺이니,

이 殺로 인한 패해를 다시찾아 보자면, 작게는 향락을 찾아 방황하는 것이요,
크게는 후실이자 첩을 두는 것이요,
여자에게는 情夫(정부)를 쫏아가는 것이니 가정이 파괴되는 凶殺(흉살)이라 할것입니다.

도화살과 사뭇 비슷하나, 이를 같게 보면 안될 것이니,
이역시 干支(간지)의 굳건함으로 살성의 힘과 효과를 구분해야 할것입니다.   
그러니, 다만 이 殺이 있다는것 하나만으로 酒色을 좋아하고 바람기가 많은 사람이라 단정해서는 안될것입니다."
46,"효신살","梟神殺이란 柱中日支에 印綬(인수)를 놓은 것이라 할 수 있으니,
이를 본다면 어머니와 인연이 희박한 것이니 生母외에 다른 어머니가 있든지,
다른 분을 모시며 살게되는 일이 발생한다 할 것이며,
나 또한 夫婦宮(부부궁)이 부실하여 남을 양육하며 살아가게 되는 殺性이라 할것입니다.
또한, 그 작용이 과중되면 아내와 어머니가 和合(화합)하지 못하게 되는 것이니 고부간의 갈등이 나오는 凶殺인 것입니다.

글자의 뜻을 보면 쉽게 알 수 있듯이,
옛부터 올빼미를 不仁之鳥(불인지조)라 불렀으니 부모의 기른 情(정)을 잊은 채 어미를 없신여기는 새에서 그 像을 본뜬것이라 할것입니다.
그러니, 이 殺이 있는 것만으로도 母情(모정)이 좋지 않다는 것을 암시한다 할것입니다.

甲子日生, 乙亥日生, 丙寅日生, 丁卯日生, 戊午日生, 己巳日生,
庚辰日生, 庚戌日生, 辛丑日生, 辛未日生, 壬申日生, 癸酉日生이 이에 해당 되는 것입니다.

梟神의 殺性이 강하게 나오는 사주는 他柱에 살성이 羊分되어 있으면 더욱 그러하며,
天干이 日支를 크게 合하는 사주가 더욱 이 凶殺을 이끌어내는 것입니다.

효신살의 凶殺이 가득한 사주는 살성이 깃듯 해운을 만나면,
父母가 喪(상)을 당하며, 子息(자식)이 크게 다치기 쉽다는것을 조심하시기 바랍니다.

그러나, 柱中의 十神의 他像을 살펴보아 印綬의 性品을 따로 보아야 할 것이니,
凶殺이 있다하여 母情(모정)이 없는 사람이라 쉽게 속단해서는 안될 것입니다."
47,"평두살","平頭殺이란 殺性(살성)의 기세가 매우 강한 凶殺이니,
이 殺性이 비추면 혼담에 말썽이 생기며, 부부화합이 힘들며, 각자 등을대고 서로를 바라보지 않게되니,
남자가 여자를 잡지 않으며, 여자또한 남자를 바라볼 뿐 붙잡지 않는 기운으로 나와 부부간의 화합의 힘이 멀어지는 살성을 말합니다.
평두살은 남녀 공히 힘의 작용이 크나, 남자보다는 여성에게 흉함이 더 강한 살성입니다.
평두살이 강하면, 철학과와 인연이 깊어진다 할 수 있으며, 종교에 몸을 의지하게 되는 성향이 나타납니다.

대체로 성직자와 독신주의자에게 이 殺性이 깃들게 된다 할 수 있으며, 살성이 印綬(인수)에 크게 미친다면,
때에따라 무녀와 박수무당등 역술인의 성향을 크게 가질 수 있으며, 그러한 길로 찾아가게 됩니다.

이 흉살은 官星이 강한 사람일때, 더우기 印綬에 큰 禍가 보일때 흉한 기운이 작동된다 할수있습니다.
大運을 살피지 않고 平頭를 論해서는 안될것입니다."
50,"낙정관살","落井關殺( 낙정관살 )이란,
말 그대로 우물에 빠진다는 凶殺로 볼수 있으나,
그 의미가 이에 한정된것이 아니니, 落傷( 낙상 )의 위험도 있는것이며,
수감 및 감금을 당하는 凶厄( 흉액 )에 까지 그 영향이 드러나는 흉살인 것입니다.

이 흉살은 日柱( 일주 )에 큰 영향을 받으나,
간혹 月柱가 日柱와 同立( 동립 )되어 있다면, 더욱 凶厄( 흉액 )이 나타날 수 있으니 이를 가려 살펴야 할것입니다.

甲己日生( 갑기일생 )이 巳火( 사화 )를 만나거나,
乙庚日生( 을경일생 )이 子水( 자수 )를 만나거나,
丙申日生( 병신일생 )이 申金( 신금 )을 만나거나,
丁壬日生( 정임일생 )이 戌土( 술토 )를 만나거나,
戊癸日生( 무계일생 )이 卯木( 묘목 )을 만나면, 이같은 殺性이 자리하는 것입니다.

하지만,
근본적으로는 大運( 대운 )을 살피고 歲運( 세운 )을 찾아 凶厄( 흉액 )이 들어오는 때를 가려, 이때를 경계해야 할것입니다.

또한, 女命四柱( 여명사주 )나, 男命四柱( 남명사주 )를 살필 때,
배우자의 기운을 다시 살펴 이 殺性에 영향을 크게 주는지를 가려야 할것이니,
좋지못한 해운을 피해 물가나, 높은 산지로 길을 떠나는 것을 불허해야 할것입니다.

凶厄( 흉액 )은 한 기운으로만 끝마치는것도 아니니,
이 살성에 白虎殺( 백호살 )의 기운까지 겸하여 들어있는 사주라면, 더욱 사고에 주의하며 凶厄( 흉액 )를 피해야 할것입니다."
51,"양인살","양인살의 구성을 먼저 살핀다면,
日柱天干( 일주천간 )이 陽氣( 양기 )를 품고 있는 상태에서 比劫( 비겁 )의 陽氣가 日干( 일간 )을 쳐다보면 그것이 羊刃의 기운을 떨치게 되는 것입니다.
그러니, 양인살에서는 陰日柱( 음일주 )를 지닌 기운으로는 양인의 힘을 떨치지 못하는것이 하나의 조건이 될수 있는 것입니다.
그러나, 日干이 日支를 바로 맞이하는 상태인 丁未日( 정미일 ), 己未日( 기미일 ), 癸丑日( 계축일 )은
비록 陰日柱( 음일주 )일지라도 일주의 힘이 오히려 양기를 원하는 상과 같아 양인의 기운을 떨치는 상이 된다 할것입니다.


그 구성을 보자면,
일간 甲木이 卯木을 보는것이며, 일간 乙木이 辰土를 보는것이며,
일간 丙火가 午火를 보는것이며, 일간 丁火가 未土를 보는것이며,
일간 戊土가 午火를 보는것이며, 일간 己土가 未土를 보는것이며,
일간 庚金이 酉金을 보는것이며, 일간 辛金이 戌土를 보는것이며,
일간 壬水가 子水를 보는것이며, 일간 癸水가 丑土를 보는것입니다.

양인살을 지니면 日柱가 强旺하게 되며, 그만큼 財星이 剋됨을 크게 받으며 동시에 파괴되기 쉽다 할것이며,
흉성의 기운으로 살성이 더욱 커진다면,
奪財( 탈재 ), 剋妻( 극처 ), 剋父( 극부 ), 奪夫( 탈부 )되기 쉬우며,
때때로 早達男兒( 조달남아 )에 장남, 장녀의 힘을 지니게 된다 할것입니다.

비록 흉살의 기운을 가리키는 살성이라 할것이나,
四柱의 中和가 이를 견제하며 오히려 吉星으로 殺星이 힘을 낼수 도 있는것이니,
군인, 경찰, 의사등으로 크게 이름을 떨칠수도 있는것이며,
당대의 英雄豪傑( 영웅호걸 )의 칭호를 능히 받는 사람으로도 크게 나오는것입니다.
나라가 위기에 처하고 어려울때 안중근 의사와 같은 독립투사를 양인살의 기운에 비할 수 있는 것이니,
이를 참고 한다면, 양인의 기운이 얼마나 큰 기운인가를 알 수 있을 것입니다.

柱中에 양인이 있다면, 총과 칼같은 도검을 잘 다루는 일에 소질을 키울수 있으며,
주중에 偏官의 官星이 이와 함께 움직인다면 양인의 살성이 오히려 吉星으로 크게 변모하기 쉽다는것 또한 알아야 합니다.

또한,
印綬( 인수 )와 羊刃( 양인 )이 함께 한다면 오히려 몸이 약하여 긴 병마와 함께하기 쉬우며
劫財( 겁재 )와 羊刃( 양인 )이 함께 한다면 妻가 厄( 액 )을 당하기 쉬우며
한편으로는 남에게 배신을 당하는 수 또한 나오기 쉬운것이며,
傷官( 상관 )과 羊刃( 양인 )이 함께 한다면 오히려 脫命( 탈명 )의 위험이 있게 될 수 있는것이니, 이또한 크게 살펴야 할것입니다.

그러니, 羊刃의 살성을 살피는데 크게 주안을 두며 사주의 中和와 生剋制化를 빠짐없이 보고 살펴
양인살의 기운이 흉성이 되는지, 길성이 되는지를 조심스럽게 觀하여야 할것입니다."
52,"이별살","離別殺( 이별살 )이라함은 말 그대로 사람이 사람을 만남에 있어 인연의 자리가 몹시 빈약해,
쉽게 헤어짐을 격게되는 살성을 말함이라 할것입니다.
흔히 生離別殺(생이별살)이라고 불리기도 합니다.

이 殺性이 자리한다하여 늘상 사람을 대함에 쉽게 이별과 헤어짐을 겪는 것이 아니니,
비록 殺性이 깊게 자리하고 있다하나, 그 運을 능히 극복또한 할 수 있다는 것을 유념해야 합니다.

그러나, 夫婦宮( 부부궁 )의 자리가 몹시 병약하고 외소한 사람에게 이러한 凶運이 들어오기 쉬우며, 그러한 때를 만나면,
사소한 이유로 친구와 헤어지고 부부의 마음이 차츰 멀어지는 것이니,
때에따라 一身을 어지럽히는 凶한 인연이 생기는 것입니다.


그 구성을 찾아본다면 柱中日柱의 힘이 大運과 年運에서 다시 그 힘을 받게될때 이 殺性의 작용이 나온다 할 것이나,
쉽게 판단하는 것은 위험하니, 구 자리의 힘의 근간을 잘 살펴봄을 주의하여 봐야 할것입니다.

甲寅,  乙卯,  乙未,  丙午,  戊辰,  戊申,  戊戌,  己丑,  庚申,  辛酉,  壬子日柱( 일주 )에서 찾을 수 있으며,
十神의 구성으로 보아도 比劫의 힘이 강함으로 나온다는것을 쉽게 알수 있습니다.

그러나, 앞서 말한 대로 쉽게 속단해서는 안될 것을 당부하는 바입니다.
이유인즉, 日干을 받치는 支의 기운이 늘상 肩劫( 비겁 )으로 힘을 받는것이 아니며,
때에따라 月支의 기운이 日支를 바로 잡아주는 것을 살펴봐야 하는것이니, 이를 꼭 참고하여 凶殺의 크기를 살펴봐야 할것입니다."
53,"천라지망살","天羅地網殺( 천라지망살 )은 글자 그대로 머리 위 하늘에 그물이 드리워진 것이며,
이 그물이 사람의 마음을 잡아매는 것이며,
발아래 땅에도 그물이 처진 것으로 사람의 몸을 붙잡아 놓는 凶殺을 말하는 것입니다.

그러니, 이 살성이 긷들어있는 사람은 마땅히 몸의 기를 크게 펴지 못하는 것이며,
사회로부터 구속과 억압을 당하기 쉽게 되는 것입니다.

天羅( 천라 )의 살성은 戌土( 술토 )와 亥水( 해수 )의 만남이며
地網( 지망 )의 살성은 辰土( 진토 )와 巳火( 사화 )의 만남이 되는 것입니다.
또한, 주중에 天羅의 戌土와 地網의 辰土가 만나게 된다면, 이는 하늘과 땅의 큰 기운이 몸을 막아서게 되는 것이니,
살성의 위험이 더욱 가중되는 것이 됩니다.

이 殺性이 비추면,
악인이 나를 구속하듯 시비와 송사가 겹치기 쉬워지는 것이며 벗어나려해도 벗어나지 못하는 고독에 갇히는 상이 되는 것입니다.

그 피해를 살핀다면,
작게는 자신의 기지를 펴내지 못하는 것이니,
몸에 많은 재능이 있다하나 이를 펼쳐내지 못하는 것이며,
더 나아가 마음의 기세가 몸 밖으로 일어나지 못하여 큰 걸음으로 세상을 바라볼 수 없게 되는 것이며,
크게는 가족과 친지를 뛰어넘어 남에게 이용을 당하니 결국에는 관재구설에까지 이르게 되는 것입니다."
54,"현침살","懸針殺( 현침살 )이란,
살성이 긷든 柱의 기운으로 그 강약을 살펴볼 수 있는데,
이 殺性이 일주에 긷든다면, 行( 행 )함이 강하여 그로부터오는 성격의 날카로움이 생기는 살성이라 할것입니다.

이 살성이 강하게 긷든 사람은 사람들간의 화합을 도모하기 힘들며, 때때로 외골수에 가까운 성향을 지니게 되며,
바늘로 살점을 찌르듯, 사람들과의 담소중에 一針( 일침 )을 놓아 말과 문장이 깨지게 하기도 하는 성향을 비칩니다.

현침살의 기운의 특징이라 한다면, 官厄( 관재구설 )과 재액, 사고등을 당할수 있기 때문에
이 살성이 강하게 긷든 달에는 외부의 변고를 조심하라는 말이 있을 교통사고나, 낙상을 조심해야 합니다.
특히 日支와 時支에 이 殺星이 중첩되어 있다면 더욱 사고를 경계해야 할것입니다.

현침살은 柱中에
甲辛( 갑신 ), 甲午( 갑오 ), 辛卯( 신묘 ), 辛未( 신미 )의 기운이 크게 힘을 받을때 殺星의 작용이 강해집니다.

현침살이 吉星( 길성 )과 同住( 동주 )하여 크게 긷든 사람은 약사와 침술사등 의료업계에 종사하는 유명인이 많으며,
많은 비중의 종교인에게서도 그 살성을 엿볼 수 있습니다.

羊刃과 함께 이 살성이 있다면,
직업적으로 도축업이나, 수렵, 어부가 되기도 합니다."
48,"상부(상처)살","이 殺이 四柱中에 있으면 남편을 잃거나 아내를 잃게되는 凶殺입니다.
흔히 상부살을 과숙살( 寡宿殺 )이라 칭하기도 하며, 상처살을 고진살( 孤辰殺 )이라 부르기도 합니다.

남자에게 喪妻殺( 상처살 )이 있게되면 작게는 부부간에 고독하게 되며, 크게는 아내와 死別( 사별 )을 하게 됩니다.
여자에게도 그 힘이 미치는 크기는 같다 할 것입니다.

이 殺性은 年柱( 년주 )의 地支( 지지 )와 柱中의 地支( 지지 )를 통해 알아볼 수가 있는 殺입니다.
더구나,
十二神殺( 십이신살 )의 화개살과 이 살성이 공존하게 되면 독수 공방하게 되거나,
비구니 또는 수녀로 자라게 되는 성질또한 강한 殺입니다.
그러니, 종교에 헌신하는 사람의 사주를 보면 이 殺性이 많다하는 것이 또하나의 특징이라 할 수 있는 것입니다.


이 殺性의 구성을 본다면,
寅卯辰年生( 인묘진년생 )이 巳火( 사화 )를 만나면 喪妻殺이 나오며, 丑土( 축토 )를 만나 喪夫殺이 나오며,
巳午未年生( 사오미년생 )이 申金( 신금 )을 만나면 喪妻殺이 나오며, 辰土( 진토 )를 만나 喪夫殺이 나오는 것입니다.
申酉戌年生( 신유술년생 )이 亥水( 해수 )를 만나면 喪妻殺이 나오며, 未土( 미토 )를 만나 喪夫殺이 나오며,
亥子丑年生( 해자축년생 )이 寅木( 인목 )을 만나면 喪妻殺이 나오며, 戌土( 술토 )를 만나 喪夫殺이 나오는 것입니다.

또한 十神의 구성으로 보아도 쉽게 알 수 있는 것이나,
단정적으로만 살성을 찾아볼수만은 없는것이니
일반적으로 알고 있는 年支( 년지 )의 힘을 다시 살펴봐야하는 것이며,
日柱( 일주 )와 月柱( 월주 )를 재대로 살펴보고야 殺性의 크기를 알아야 할것입니다.

他 殺과 마찮가지로 이 殺性의 有無 만으로는 속단해서는 않된다는 것을 알아야 할것입니다.
"
49,"상문살","喪門殺이란,
年柱( 년주 )를 기준으로 殺性이 드는 歲運( 해운 )의 힘을 보는 凶殺이라 할 수 있습니다.
여기서 이 殺性이 있는 사람은 글자의 뜻 그대로 막연히 喪을 당하게되는 것이라 보면 안될 것입니다.

살성이 들어오는 해를 살펴보는데 주의해야 하니, 이를 잘 보고 판단을 해야 할것입니다.
다만 凶한 해에 喪門의 凶殺이 들어 온다면 가족의 안부를 당부하고 조심해야 하는 것이라 할것입니다.
또한 喪門殺이 柱中에 많은 사람의 특징이라면 직업이 장의사( 葬儀社 )계통인 사람에게서 쉽게 찾을 수 있으니,
이 또한 신묘한 살성이라 할것입니다.

이 殺이 있으면 자손으로 인한 걱정 또한 있게 됨이니 장성하여 출가하기 전에는,
자식의 仁性교육에 힘을 쏟는 것이 좋으며, 자식이 어린나이에 自立, 獨立하는 것을 매양 반가워해서도 안될 것입니다.


그 구성을 찾아본다면,
年柱地支가 子水에 寅木이 드는 것이요, 丑土에 卯木이요, 寅木에 辰土라 할것이며,
年柱地支가 卯木에 巳火가 드는 것이요, 辰土에 午火이며, 巳火에 未土라 할것이며,
年柱地支가 午火에 申金이 드는 것이요, 未土에 酉金이요, 申金에 戌土라 할것이며,
年柱地支가 酉金에 亥水가 드는 것이요, 戌土에 子水이며, 亥水에 丑土의 歲運을 만나는 것이라 하면 이해가 쉬울것입니다.

이 흉살은 항시 凶厄( 흉액 )을 떨치는 殺( 살 )이 아닌것이니,
大運( 대운 )과 歲運( 해운 )을 크게 살펴 우환이 생길 月( 달 )을 미리 찾아 경계해야 할것입니다.

"
